SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
2024,1627674,Kahleah Copper,Kahleah,1611661317,PHO,Phoenix Mercury,1022400240,2024-09-19T00:00:00,PHO vs. SEA,L,25.3,2,9,0.222,0,4,0.0,0,0,0.0,0,1,1,5,1,1,0,1,2,1,4,-17,14.7,0,0,12.0,1.0,2263.0,2263.0,2263.0,1880.0,2287.0,1408.0,3368.0,1909.0,853.0,1909.0,2266.0,2417.0,2266.0,2112.0,2717.0,3089.0,400.0,1742.0,907.0,1350.0,3082.0,2127.0,2052.0,2809.0,4301.0,2448.0,299.0,8.0,2666.0,1,25:18
2024,1641652,Maddy Siegrist,Maddy,1611661321,DAL,Dallas Wings,1022400239,2024-09-19T00:00:00,DAL @ LVA,L,33.833333333333336,3,8,0.375,1,2,0.5,5,6,0.833,2,2,4,2,1,0,0,1,0,3,12,-6,18.8,0,0,19.0,1.0,2263.0,2263.0,2263.0,650.0,1744.0,1629.0,2424.0,966.0,1704.0,551.0,274.0,267.0,1245.0,436.0,1983.0,1430.0,1544.0,1742.0,2210.0,1350.0,3082.0,1.0,816.0,1260.0,3177.0,1996.0,299.0,8.0,1826.0,1,33:50
2024,1630149,Satou Sabally,Satou,1611661321,DAL,Dallas Wings,1022400239,2024-09-19T00:00:00,DAL @ LVA,L,31.73333333333333,6,12,0.5,4,6,0.667,9,10,0.9,0,7,7,7,3,1,1,0,4,6,25,-6,46.9,0,0,47.0,1.0,2263.0,2263.0,2263.0,986.0,639.0,832.0,1203.0,87.0,401.0,323.0,33.0,41.0,1158.0,2112.0,296.0,589.0,133.0,406.0,907.0,419.0,1.0,3845.0,127.0,151.0,3177.0,159.0,299.0,8.0,92.0,1,31:44
2024,1627668,Breanna Stewart,Breanna,1611661313,NYL,New York Liberty,1022400236,2024-09-19T00:00:00,NYL vs. ATL,L,16.45,5,10,0.5,1,2,0.5,5,5,1.0,0,2,2,0,1,1,0,0,0,3,16,-8,20.4,0,0,21.0,1.0,2263.0,2263.0,2263.0,2930.0,914.0,1182.0,1203.0,966.0,1704.0,551.0,274.0,451.0,1.0,2112.0,1983.0,2427.0,3330.0,1742.0,907.0,1350.0,1.0,1.0,816.0,732.0,3471.0,1820.0,299.0,8.0,1615.0,1,16:27
2024,1628317,Karlie Samuelson,Karlie,1611661322,WAS,Washington Mystics,1022400237,2024-09-19T00:00:00,WAS vs. IND,W,20.183333333333334,1,5,0.2,0,3,0.0,1,1,1.0,0,3,3,3,0,0,0,0,0,0,3,14,11.1,0,0,9.0,1.0,1.0,1.0,1.0,2500.0,2886.0,2472.0,3398.0,1909.0,1209.0,1909.0,1749.0,2169.0,1.0,2112.0,1421.0,1879.0,1015.0,3036.0,2210.0,1350.0,1.0,1.0,3093.0,3074.0,400.0,2897.0,299.0,8.0,3044.0,1,20:11
2024,203026,Tiffany Hayes,Tiffany,1611661319,LVA,Las Vegas Aces,1022400239,2024-09-19T00:00:00,LVA vs. DAL,W,25.65,7,14,0.5,3,6,0.5,4,5,0.8,2,1,3,5,1,2,1,0,0,5,21,10,40.1,0,0,38.0,1.0,1.0,1.0,1.0,1837.0,410.0,527.0,1203.0,203.0,401.0,551.0,419.0,451.0,1307.0,436.0,2717.0,1879.0,400.0,1742.0,323.0,419.0,1.0,1.0,260.0,321.0,695.0,363.0,299.0,8.0,331.0,1,25:39
2024,1628909,Kelsey Mitchell,Kelsey,1611661325,IND,Indiana Fever,1022400237,2024-09-19T00:00:00,IND @ WAS,L,4.6,2,2,1.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,4,16,5.5,0,0,5.0,1.0,2263.0,2263.0,2263.0,4136.0,2287.0,3496.0,1.0,1909.0,3181.0,1909.0,2266.0,2417.0,2266.0,2112.0,3606.0,3812.0,2320.0,3036.0,2210.0,1350.0,1.0,1.0,3093.0,2809.0,290.0,3599.0,299.0,8.0,3584.0,1,4:36
2024,1642286,Caitlin Clark,Caitlin,1611661325,IND,Indiana Fever,1022400237,2024-09-19T00:00:00,IND @ WAS,L,19.78333333333333,2,5,0.4,2,3,0.667,2,2,1.0,0,5,5,8,3,1,0,0,0,4,8,1,26.0,0,0,25.0,1.0,2263.0,2263.0,2263.0,2550.0,2287.0,2472.0,2177.0,493.0,1209.0,323.0,1015.0,1263.0,1.0,2112.0,651.0,1096.0,84.0,406.0,907.0,1350.0,1.0,1.0,467.0,1947.0,1886.0,1298.0,299.0,8.0,1246.0,1,19:47
2024,202250,Tina Charles,Tina,1611661330,ATL,Atlanta Dream,1022400236,2024-09-19T00:00:00,ATL @ NYL,W,22.316666666666663,5,10,0.5,0,0,0.0,0,0,0.0,3,7,10,3,1,0,1,2,1,0,10,11,28.5,1,0,25.0,1.0,1.0,1.0,1.0,2241.0,914.0,1182.0,1203.0,1909.0,3181.0,1909.0,2266.0,2417.0,2266.0,204.0,296.0,220.0,1015.0,1742.0,2210.0,419.0,4111.0,966.0,3093.0,1577.0,615.0,1081.0,1.0,8.0,1246.0,1,22:19
2024,1631009,Rhyne Howard,Rhyne,1611661330,ATL,Atlanta Dream,1022400236,2024-09-19T00:00:00,ATL @ NYL,W,25.266666666666666,4,10,0.4,3,5,0.6,2,2,1.0,1,2,3,4,0,2,1,1,1,2,13,17,31.6,0,0,29.0,1.0,1.0,1.0,1.0,1883.0,1289.0,1182.0,2177.0,203.0,620.0,447.0,1015.0,1263.0,1.0,1010.0,1983.0,1879.0,662.0,3036.0,323.0,419.0,3082.0,966.0,1354.0,1109.0,246.0,834.0,299.0,8.0,937.0,1,25:16
