SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,cycle_phase,cycle_day,phase_volatility,cycle_confidence,perf_trend,cycle_risk_tag
2024,1627673,Jonquel Jones,Jonquel,1611661313,NYL,New York Liberty,1022400001,2024-05-14,NYL @ WAS,W,32.8,10,17,0.588,4,8,0.5,1,1,1.0,3,5,8,2,3,0,1,0,2,6,25,6,37.6,0,0,41.0,1.0,1.0,1.0,1.0,804.0,79.0,217.0,898.0,87.0,175.0,551.0,1749.0,2169.0,1.0,204.0,651.0,416.0,1544.0,406.0,2210.0,419.0,1.0,2127.0,127.0,151.0,1131.0,475.0,299.0,8.0,237.0,1,32:48,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
2024,1627674,Kahleah Copper,Kahleah,1611661317,PHO,Phoenix Mercury,1022400003,2024-05-14,PHO @ LVA,L,29.933333333333334,7,19,0.368,3,7,0.429,2,2,1.0,1,3,4,4,2,0,0,1,5,3,19,-5,27.8,0,0,30.0,1.0,2263.0,2263.0,2263.0,1269.0,410.0,116.0,2510.0,203.0,257.0,1022.0,1015.0,1263.0,1.0,1010.0,1421.0,1430.0,662.0,894.0,2210.0,1350.0,3082.0,4295.0,816.0,456.0,3008.0,1136.0,299.0,8.0,844.0,1,29:56,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
2024,1627675,Courtney Williams,Courtney,1611661324,MIN,Minnesota Lynx,1022400004,2024-05-14,MIN @ SEA,W,28.516666666666666,7,13,0.538,0,2,0.0,0,0,0.0,0,5,5,7,3,5,0,0,2,0,14,11,42.5,0,0,36.0,1.0,1.0,1.0,1.0,1465.0,410.0,669.0,1122.0,1909.0,1704.0,1909.0,2266.0,2417.0,2266.0,2112.0,651.0,1096.0,133.0,406.0,12.0,1350.0,1.0,2127.0,3093.0,968.0,615.0,277.0,299.0,8.0,440.0,1,28:31,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
2024,1627676,Tiffany Mitchell,Tiffany,1611661323,CON,Connecticut Sun,1022400002,2024-05-14,CON vs. IND,W,11.516666666666667,1,4,0.25,0,1,0.0,2,2,1.0,1,0,1,1,0,0,0,0,2,1,4,9,6.7,0,0,6.0,1.0,1.0,1.0,1.0,3496.0,2886.0,2800.0,3148.0,1909.0,2344.0,1909.0,1015.0,1263.0,1.0,1010.0,3606.0,3089.0,2320.0,3036.0,2210.0,1350.0,1.0,2127.0,2052.0,2809.0,795.0,3427.0,299.0,8.0,3449.0,1,11:31,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
2024,1627701,Temi Fágbénlé,Temi,1611661325,IND,Indiana Fever,1022400002,2024-05-14,IND @ CON,L,12.283333333333331,2,2,1.0,0,0,0.0,0,0,0.0,0,4,4,1,3,0,1,0,4,0,4,-8,10.3,0,0,11.0,1.0,2263.0,2263.0,2263.0,3419.0,2287.0,3496.0,1.0,1909.0,3181.0,1909.0,2266.0,2417.0,2266.0,2112.0,970.0,1430.0,2320.0,406.0,2210.0,419.0,1.0,3845.0,3093.0,2809.0,3471.0,2995.0,299.0,8.0,2788.0,1,12:17,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
2024,1628244,Sami Whitcomb,Sami,1611661328,SEA,Seattle Storm,1022400004,2024-05-14,SEA vs. MIN,L,12.383333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,1,0,0,0,0,-2,3.5,0,0,3.0,1.0,2263.0,2263.0,2263.0,3407.0,3652.0,4208.0,3652.0,1909.0,3181.0,1909.0,2266.0,2417.0,2266.0,2112.0,3606.0,3812.0,2320.0,1742.0,2210.0,419.0,1.0,1.0,3093.0,3784.0,2415.0,3827.0,299.0,8.0,3832.0,1,12:23,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
2024,1628276,Kelsey Plum,Kelsey,1611661319,LVA,Las Vegas Aces,1022400003,2024-05-14,LVA vs. PHO,W,37.86666666666667,8,20,0.4,3,10,0.3,0,2,0.0,0,3,3,5,2,1,0,2,2,4,19,9,31.1,0,0,32.0,1.0,1.0,1.0,1.0,145.0,241.0,88.0,2177.0,203.0,56.0,1518.0,2266.0,1263.0,2266.0,2112.0,1421.0,1879.0,400.0,894.0,907.0,1350.0,4111.0,2127.0,467.0,456.0,795.0,869.0,299.0,8.0,677.0,1,37:52,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
2024,1628278,Shatori Walker-Kimbrough,Shatori,1611661322,WAS,Washington Mystics,1022400001,2024-05-14,WAS vs. NYL,L,14.1,0,3,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,2,4,1,0,-11,0.5,0,0,1.0,1.0,2263.0,2263.0,2263.0,3194.0,3652.0,3149.0,3652.0,1909.0,3181.0,1909.0,2266.0,2417.0,2266.0,2112.0,3606.0,3812.0,2320.0,1742.0,2210.0,1350.0,4111.0,3845.0,2052.0,3784.0,3853.0,4226.0,299.0,8.0,4130.0,1,14:06,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
2024,1628279,Brittney Sykes,Brittney,1611661322,WAS,Washington Mystics,1022400001,2024-05-14,WAS vs. NYL,L,29.633333333333333,7,17,0.412,0,5,0.0,0,0,0.0,1,9,10,7,2,2,0,1,3,2,14,1,40.5,1,0,35.0,1.0,2263.0,2263.0,2263.0,1315.0,410.0,217.0,2155.0,1909.0,620.0,1909.0,2266.0,2417.0,2266.0,1010.0,117.0,220.0,133.0,894.0,323.0,1350.0,3082.0,3120.0,1354.0,968.0,1886.0,347.0,1.0,8.0,485.0,1,29:38,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
2024,1628280,Brionna Jones,Brionna,1611661323,CON,Connecticut Sun,1022400002,2024-05-14,CON vs. IND,W,19.466666666666665,2,4,0.5,0,0,0.0,4,6,0.667,1,2,3,1,1,3,1,0,1,4,8,12,24.1,0,0,20.0,1.0,1.0,1.0,1.0,2585.0,2287.0,2800.0,1203.0,1909.0,3181.0,1909.0,419.0,267.0,1581.0,1010.0,1983.0,1879.0,2320.0,1742.0,93.0,419.0,1.0,966.0,467.0,1947.0,546.0,1462.0,299.0,8.0,1713.0,1,19:28,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
2024,1628317,Karlie Samuelson,Karlie,1611661322,WAS,Washington Mystics,1022400001,2024-05-14,WAS vs. NYL,L,27.33333333333333,2,9,0.222,1,6,0.167,2,2,1.0,1,3,4,1,3,1,0,0,2,3,7,2,13.3,0,0,15.0,1.0,2263.0,2263.0,2263.0,1624.0,2287.0,1408.0,3368.0,966.0,401.0,1822.0,1015.0,1263.0,1.0,1010.0,1421.0,1430.0,2320.0,406.0,907.0,1350.0,1.0,2127.0,816.0,2151.0,1702.0,2627.0,299.0,8.0,2282.0,1,27:20,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
2024,1628508,Cecilia Zandalasini,Cecilia,1611661324,MIN,Minnesota Lynx,1022400004,2024-05-14,MIN @ SEA,W,9.483333333333333,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,1,3,0,1,0,0,0,2,1,4.7,0,0,6.0,1.0,1.0,1.0,1.0,3714.0,2886.0,3496.0,1203.0,1909.0,3181.0,1909.0,2266.0,2417.0,2266.0,2112.0,2717.0,3089.0,2320.0,406.0,2210.0,419.0,1.0,1.0,3093.0,3308.0,1886.0,3679.0,299.0,8.0,3449.0,1,9:29,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
2024,1628878,Ariel Atkins,Ariel,1611661322,WAS,Washington Mystics,1022400001,2024-05-14,WAS vs. NYL,L,34.266666666666666,7,15,0.467,4,7,0.571,2,2,1.0,0,2,2,3,1,3,1,0,1,4,20,7,37.9,0,0,37.0,1.0,2263.0,2263.0,2263.0,574.0,410.0,414.0,1779.0,87.0,257.0,511.0,1015.0,1263.0,1.0,2112.0,1983.0,2427.0,1015.0,1742.0,93.0,419.0,1.0,966.0,467.0,386.0,995.0,461.0,299.0,8.0,381.0,1,34:16,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
2024,1628899,Myisha Hines-Allen,Myisha,1611661322,WAS,Washington Mystics,1022400001,2024-05-14,WAS vs. NYL,L,19.1,2,6,0.333,1,3,0.333,0,0,0.0,2,3,5,2,2,1,0,1,4,1,5,-14,15.0,0,0,15.0,1.0,2263.0,2263.0,2263.0,2617.0,2287.0,2173.0,2587.0,966.0,1209.0,1190.0,2266.0,2417.0,2266.0,436.0,1421.0,1096.0,1544.0,894.0,907.0,1350.0,3082.0,3845.0,2052.0,2615.0,4135.0,2413.0,299.0,8.0,2282.0,1,19:06,menstrual,1,1.15,0.52,1.0,FADE_MENSTRUAL
