slip_id,player,team,prop_type,line,projection,pick,over_odds,under_odds,start_time,game_id,home_team,away_team,source,fetched_at,projection_id,flash_sale,is_promo
PP_5595941_20250707,Riley Greene,DET,Runs,1.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877675,5595941,False,False
PP_5595090_20250707,Josh Lowe,TB,Total Bases,3.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877678,5595090,False,False
PP_5595541_20250707,Josh Lowe,TB,Hitter Strikeouts,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877682,5595541,False,False
PP_5595089_20250707,Josh Lowe,TB,RBIs,1.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877685,5595089,False,False
PP_5595537_20250707,Josh Lowe,TB,Doubles,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877689,5595537,False,False
PP_5595539_20250707,Josh Lowe,TB,Hits+Runs+RBIs,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877693,5595539,False,False
PP_5593895_20250707,Josh Lowe,TB,Total Bases,1.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877696,5593895,False,False
PP_5595744_20250707,Josh Lowe,TB,Hits+Runs+RBIs,2.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877700,5595744,False,False
PP_5595743_20250707,Josh Lowe,TB,Hits+Runs+RBIs,4.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877705,5595743,False,False
PP_5595992_20250707,Josh Lowe,TB,Singles,1.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877708,5595992,False,False
PP_5595546_20250707,Josh Lowe,TB,Walks,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877712,5595546,False,False
PP_5593893_20250707,Josh Lowe,TB,Home Runs,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877715,5593893,False,False
PP_5595091_20250707,Josh Lowe,TB,Total Bases,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877718,5595091,False,False
PP_5595088_20250707,Josh Lowe,TB,Hits,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877722,5595088,False,False
PP_5598572_20250707,Josh Lowe,TB,Hits,2.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877725,5598572,False,False
PP_5595543_20250707,Josh Lowe,TB,Runs,1.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877729,5595543,False,False
PP_5595538_20250707,Josh Lowe,TB,Hits+Runs+RBIs,3.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877733,5595538,False,False
PP_5595545_20250707,Josh Lowe,TB,Stolen Bases,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877736,5595545,False,False
PP_5593892_20250707,Josh Lowe,TB,Hits,1.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877740,5593892,False,False
PP_5593894_20250707,Josh Lowe,TB,RBIs,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877744,5593894,False,False
PP_5595540_20250707,Josh Lowe,TB,Hitter Strikeouts,1.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877748,5595540,False,False
PP_5598666_20250707,Josh Lowe,TB,Hits+Runs+RBIs,1.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877751,5598666,False,False
PP_5595104_20250707,Shane Baz,TB,Pitcher Strikeouts,6.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877754,5595104,False,False
PP_5595998_20250707,Shane Baz,TB,Hits Allowed,7.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877757,5595998,False,False
PP_5595999_20250707,Shane Baz,TB,Hits Allowed,6.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877760,5595999,False,False
PP_5595103_20250707,Shane Baz,TB,Pitcher Strikeouts,7.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877764,5595103,False,False
PP_5595996_20250707,Shane Baz,TB,Earned Runs Allowed,3.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877768,5595996,False,False
PP_5595601_20250707,Shane Baz,TB,Walks Allowed,1.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877771,5595601,False,False
PP_5596000_20250707,Shane Baz,TB,Hits Allowed,3.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877775,5596000,False,False
PP_5595995_20250707,Shane Baz,TB,Earned Runs Allowed,4.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877779,5595995,False,False
PP_5595997_20250707,Shane Baz,TB,Earned Runs Allowed,1.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877782,5595997,False,False
PP_5593903_20250707,Shane Baz,TB,Pitching Outs,17.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877785,5593903,False,False
PP_5593902_20250707,Shane Baz,TB,Hits Allowed,4.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877790,5593902,False,False
PP_5597049_20250707,Shane Baz,TB,Earned Runs Allowed,2.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877794,5597049,False,False
PP_5595887_20250707,Shane Baz,TB,Walks Allowed,3.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877797,5595887,False,False
PP_5597875_20250707,Shane Baz,TB,Pitcher Strikeouts,5.0,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877801,5597875,False,False
PP_5595888_20250707,Shane Baz,TB,Walks Allowed,2.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877804,5595888,False,False
PP_5593358_20250707,Spencer Torkelson,DET,RBIs,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877808,5593358,False,False
PP_5595917_20250707,Spencer Torkelson,DET,Hits+Runs+RBIs,4.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877813,5595917,False,False
PP_5593359_20250707,Spencer Torkelson,DET,Total Bases,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877816,5593359,False,False
PP_5595606_20250707,Spencer Torkelson,DET,Hitter Strikeouts,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877820,5595606,False,False
PP_5595107_20250707,Spencer Torkelson,DET,Total Bases,3.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877823,5595107,False,False
PP_5593151_20250707,Spencer Torkelson,DET,RBIs,1.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877826,5593151,False,False
PP_5595106_20250707,Spencer Torkelson,DET,Hits,1.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877830,5595106,False,False
PP_5595752_20250707,Spencer Torkelson,DET,Hits+Runs+RBIs,2.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877833,5595752,False,False
PP_5595108_20250707,Spencer Torkelson,DET,Total Bases,2.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877836,5595108,False,False
PP_5595602_20250707,Spencer Torkelson,DET,Doubles,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877840,5595602,False,False
PP_5595608_20250707,Spencer Torkelson,DET,Singles,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877843,5595608,False,False
PP_5593357_20250707,Spencer Torkelson,DET,Home Runs,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877848,5593357,False,False
PP_5593356_20250707,Spencer Torkelson,DET,Hits,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877851,5593356,False,False
PP_5595604_20250707,Spencer Torkelson,DET,Hits+Runs+RBIs,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877855,5595604,False,False
PP_5595609_20250707,Spencer Torkelson,DET,Walks,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877858,5595609,False,False
PP_5596002_20250707,Spencer Torkelson,DET,Singles,1.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877861,5596002,False,False
PP_5595603_20250707,Spencer Torkelson,DET,Hits+Runs+RBIs,3.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877865,5595603,False,False
PP_5595607_20250707,Spencer Torkelson,DET,Runs,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877868,5595607,False,False
PP_5595605_20250707,Spencer Torkelson,DET,Hitter Strikeouts,1.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877871,5595605,False,False
PP_5595614_20250707,Taylor Walls,TB,Hitter Strikeouts,1.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877875,5595614,False,False
PP_5595617_20250707,Taylor Walls,TB,Singles,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877878,5595617,False,False
PP_5595619_20250707,Taylor Walls,TB,Walks,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877882,5595619,False,False
PP_5595610_20250707,Taylor Walls,TB,Doubles,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877886,5595610,False,False
PP_5593904_20250707,Taylor Walls,TB,Hits,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877890,5593904,False,False
PP_5595612_20250707,Taylor Walls,TB,Hits+Runs+RBIs,1.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877893,5595612,False,False
PP_5595613_20250707,Taylor Walls,TB,Hits+Runs+RBIs,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877896,5595613,False,False
PP_5595616_20250707,Taylor Walls,TB,Runs,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877900,5595616,False,False
PP_5595618_20250707,Taylor Walls,TB,Stolen Bases,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877903,5595618,False,False
PP_5593905_20250707,Taylor Walls,TB,RBIs,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877906,5593905,False,False
PP_5595110_20250707,Taylor Walls,TB,Total Bases,3.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877910,5595110,False,False
PP_5595615_20250707,Taylor Walls,TB,Hitter Strikeouts,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877914,5595615,False,False
PP_5595111_20250707,Taylor Walls,TB,Total Bases,2.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877919,5595111,False,False
PP_5595753_20250707,Taylor Walls,TB,Hits+Runs+RBIs,2.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877922,5595753,False,False
PP_5595109_20250707,Taylor Walls,TB,Hits,1.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877925,5595109,False,False
PP_5593906_20250707,Taylor Walls,TB,Total Bases,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877929,5593906,False,False
PP_5595611_20250707,Taylor Walls,TB,Hits+Runs+RBIs,3.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877932,5595611,False,False
PP_5597097_20250707,Taylor Walls,TB,Singles,1.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877935,5597097,False,False
PP_5598033_20250707,Taylor Walls,TB,RBIs,1.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877938,5598033,False,False
PP_5593891_20250707,Jonathan Aranda,TB,Total Bases,1.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877942,5593891,False,False
PP_5595742_20250707,Jonathan Aranda,TB,Hits+Runs+RBIs,2.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877946,5595742,False,False
PP_5595532_20250707,Jonathan Aranda,TB,Hitter Strikeouts,1.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877949,5595532,False,False
PP_5593889_20250707,Jonathan Aranda,TB,Home Runs,0.5,,,-110,-110,2025-07-07T18:40:00-04:00,77326,,,prizepicks,2025-07-07T15:30:40.877953,5593889,False,False
