PLAYER_NAME,TEAM,GAME_DATE,PTS,AST,REB,STL,BLK,TOV,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%
Bridget Carleton,MIN,2025-06-08,8,2,5,1,0,0,34,3,6,0.5,2,4,0.5,0,0,0.0
Bridget Carleton,MIN,2025-06-11,11,1,1,1,1,3,35,4,6,0.667,3,4,0.75,0,0,0.0
Bridget Carleton,MIN,2025-06-14,6,4,2,1,1,1,23,2,3,0.667,2,3,0.667,0,0,0.0
Myisha Hines-Allen,MIN,2025-06-03,16,3,12,2,0,3,23,6,9,0.667,1,1,1.0,3,4,0.75
Myisha Hines-Allen,MIN,2025-06-06,4,3,4,0,1,4,15,2,6,0.333,0,1,0.0,0,0,0.0
Myisha Hines-Allen,MIN,2025-06-08,4,1,5,0,0,2,17,1,3,0.333,0,0,0.0,2,2,1.0
Myisha Hines-Allen,MIN,2025-06-11,3,3,2,0,0,2,18,1,2,0.5,0,0,0.0,1,2,0.5
Myisha Hines-Allen,MIN,2025-06-13,6,2,5,3,0,1,27,2,3,0.667,0,0,0.0,2,2,1.0
Napheesa Collier,MIN,2025-06-01,24,4,11,2,1,3,37,8,18,0.444,2,4,0.5,6,7,0.857
Napheesa Collier,MIN,2025-06-03,18,5,11,1,0,4,31,8,13,0.615,0,2,0.0,2,3,0.667
Napheesa Collier,MIN,2025-06-08,28,4,10,3,3,1,37,10,19,0.526,3,6,0.5,5,5,1.0
Napheesa Collier,MIN,2025-06-11,25,5,9,0,3,0,38,9,23,0.391,1,4,0.25,6,6,1.0
Napheesa Collier,MIN,2025-06-14,32,6,8,2,2,2,31,13,16,0.813,3,4,0.75,3,3,1.0
Natisha Hiedeman,MIN,2025-06-01,8,4,0,2,0,1,15,3,6,0.5,1,2,0.5,1,1,1.0
Natisha Hiedeman,MIN,2025-06-03,18,1,3,0,0,4,24,7,10,0.7,2,4,0.5,2,2,1.0
Natisha Hiedeman,MIN,2025-06-08,9,1,2,1,1,1,20,4,8,0.5,1,4,0.25,0,0,0.0
Natisha Hiedeman,MIN,2025-06-11,7,5,1,0,0,1,22,3,5,0.6,1,1,1.0,0,0,0.0
Natisha Hiedeman,MIN,2025-06-14,14,5,0,1,0,0,25,6,11,0.545,2,6,0.333,0,0,0.0
Jewell Loyd,SEA,2025-05-30,3,4,6,0,0,0,33,1,8,0.125,1,2,0.5,0,2,0.0
Jewell Loyd,SEA,2025-06-01,10,4,7,4,0,2,28,3,6,0.5,2,4,0.5,2,3,0.667
Jewell Loyd,SEA,2025-06-07,5,1,6,2,0,0,26,1,6,0.167,0,3,0.0,3,5,0.6
Jewell Loyd,SEA,2025-06-11,7,1,0,1,0,1,25,3,9,0.333,1,4,0.25,0,0,0.0
Jewell Loyd,SEA,2025-06-13,21,2,3,1,0,3,28,7,13,0.538,5,8,0.625,2,2,1.0
Skylar Diggins,SEA,2025-06-01,11,5,4,1,0,6,32,5,15,0.333,0,3,0.0,1,1,1.0
Skylar Diggins,SEA,2025-06-03,9,5,1,1,1,5,33,3,7,0.429,0,2,0.0,3,4,0.75
Skylar Diggins,SEA,2025-06-07,26,7,3,2,0,3,35,8,18,0.444,4,8,0.5,6,7,0.857
Skylar Diggins,SEA,2025-06-11,18,6,1,1,0,2,35,6,14,0.429,2,5,0.4,4,5,0.8
Skylar Diggins,SEA,2025-06-14,21,3,0,2,1,2,35,7,16,0.438,3,7,0.429,4,5,0.8
