projection_id,player_id,game_id,team,stat_type,line_score,start_time,updated_at,status,odds_type,is_live,is_promo
5204881,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,9.5,2025-06-03T21:30:00-04:00,2025-06-03T09:58:54-04:00,pre_game,goblin,False,False
5202259,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Pts+Rebs,15.0,2025-06-03T21:30:00-04:00,2025-06-03T18:39:52-04:00,pre_game,standard,False,False
5202933,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebounds,3.5,2025-06-03T21:30:00-04:00,2025-06-03T11:41:31-04:00,pre_game,goblin,False,False
5203036,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebounds,7.5,2025-06-03T21:30:00-04:00,2025-06-03T11:41:31-04:00,pre_game,demon,False,False
5203034,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,11.5,2025-06-03T21:30:00-04:00,2025-06-02T13:25:03-04:00,pre_game,demon,False,False
5203033,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,7.5,2025-06-03T21:30:00-04:00,2025-06-02T12:50:45-04:00,pre_game,goblin,False,False
5202283,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,5.0,2025-06-03T21:30:00-04:00,2025-06-03T11:54:23-04:00,pre_game,standard,False,False
5203028,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Assists,7.5,2025-06-03T21:30:00-04:00,2025-06-03T11:41:52-04:00,pre_game,demon,False,False
5202927,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,14.5,2025-06-03T21:30:00-04:00,2025-06-02T12:50:44-04:00,pre_game,goblin,False,False
5202923,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,3-PT Made,3.5,2025-06-03T21:30:00-04:00,2025-06-03T11:42:01-04:00,pre_game,demon,False,False
5202250,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Pts+Asts,23.0,2025-06-03T21:30:00-04:00,2025-06-03T17:34:24-04:00,pre_game,standard,False,False
5212284,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,18.0,2025-06-03T21:30:00-04:00,2025-06-03T13:14:38-04:00,pre_game,standard,False,False
5202253,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebounds,3.5,2025-06-03T21:30:00-04:00,2025-06-03T11:41:30-04:00,pre_game,demon,False,False
5202254,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebs+Asts,8.0,2025-06-03T21:30:00-04:00,2025-06-03T15:41:27-04:00,pre_game,standard,False,False
5202926,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Assists,3.5,2025-06-03T21:30:00-04:00,2025-06-03T11:41:52-04:00,pre_game,goblin,False,False
5203067,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,29.5,2025-06-03T21:30:00-04:00,2025-06-02T16:51:01-04:00,pre_game,demon,False,False
5202924,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,3-PT Made,1.5,2025-06-03T21:30:00-04:00,2025-06-03T11:42:01-04:00,pre_game,goblin,False,False
5202530,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,19.5,2025-06-03T21:30:00-04:00,2025-06-02T12:50:42-04:00,pre_game,demon,False,False
5203217,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,3-PT Made,4.5,2025-06-03T21:30:00-04:00,2025-06-03T11:42:02-04:00,pre_game,demon,False,False
5202252,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Pts+Rebs+Asts,26.0,2025-06-03T21:30:00-04:00,2025-06-03T11:47:13-04:00,pre_game,standard,False,False
5211168,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,16.5,2025-06-03T21:30:00-04:00,2025-06-03T10:44:50-04:00,pre_game,goblin,False,False
5211908,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Fantasy Score,32.0,2025-06-03T21:30:00-04:00,2025-06-03T17:34:46-04:00,pre_game,standard,False,False
5203304,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Assists,2.5,2025-06-03T21:30:00-04:00,2025-06-03T21:18:53-04:00,pre_game,goblin,False,False
5202251,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Pts+Rebs,21.5,2025-06-03T21:30:00-04:00,2025-06-03T20:43:53-04:00,pre_game,standard,False,False
5203029,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,24.5,2025-06-03T21:30:00-04:00,2025-06-02T14:39:19-04:00,pre_game,demon,False,False
5202925,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Assists,5.5,2025-06-03T21:30:00-04:00,2025-06-03T11:41:52-04:00,pre_game,demon,False,False
5211910,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Fantasy Score,35.0,2025-06-03T21:30:00-04:00,2025-06-03T19:36:54-04:00,pre_game,standard,False,False
5203506,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Assists,11.5,2025-06-03T21:30:00-04:00,2025-06-03T12:42:53-04:00,pre_game,demon,False,False
5202921,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,19.5,2025-06-03T21:30:00-04:00,2025-06-02T12:50:44-04:00,pre_game,demon,False,False
5202920,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Assists,5.5,2025-06-03T21:30:00-04:00,2025-06-03T11:41:52-04:00,pre_game,goblin,False,False
5211915,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Pts+Rebs+Asts,28.0,2025-06-03T21:30:00-04:00,2025-06-03T19:37:40-04:00,pre_game,standard,False,False
5203027,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Assists,9.5,2025-06-03T21:30:00-04:00,2025-06-03T11:41:52-04:00,pre_game,demon,False,False
5203026,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Assists,6.5,2025-06-03T21:30:00-04:00,2025-06-03T11:41:52-04:00,pre_game,goblin,False,False
5211918,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebs+Asts,10.0,2025-06-03T21:30:00-04:00,2025-06-03T17:24:17-04:00,pre_game,standard,False,False
5202246,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Pts+Asts,25.5,2025-06-03T21:30:00-04:00,2025-06-03T11:42:34-04:00,pre_game,standard,False,False
5202529,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,18.5,2025-06-03T21:30:00-04:00,2025-06-03T12:57:09-04:00,pre_game,standard,False,False
5203338,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Assists,7.0,2025-06-03T21:30:00-04:00,2025-06-03T17:26:04-04:00,pre_game,standard,False,False
5203107,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,24.5,2025-06-03T21:30:00-04:00,2025-06-03T01:48:46-04:00,pre_game,demon,False,False
5202922,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,14.5,2025-06-03T21:30:00-04:00,2025-06-02T12:50:44-04:00,pre_game,goblin,False,False
5207740,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,17.5,2025-06-03T21:30:00-04:00,2025-06-03T11:58:00-04:00,pre_game,goblin,False,False
5211916,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Pts+Rebs+Asts,29.5,2025-06-03T21:30:00-04:00,2025-06-03T20:45:31-04:00,pre_game,standard,False,False
5211911,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Fantasy Score,35.0,2025-06-03T21:30:00-04:00,2025-06-03T17:26:35-04:00,pre_game,standard,False,False
5202917,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,14.5,2025-06-03T21:30:00-04:00,2025-06-02T12:50:44-04:00,pre_game,goblin,False,False
5202242,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Pts+Rebs,27.5,2025-06-03T21:30:00-04:00,2025-06-03T20:45:31-04:00,pre_game,standard,False,False
5203024,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,24.5,2025-06-03T21:30:00-04:00,2025-06-02T14:37:05-04:00,pre_game,demon,False,False
5203222,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebounds,6.5,2025-06-03T21:30:00-04:00,2025-06-03T21:18:53-04:00,pre_game,goblin,False,False
5210670,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,20.5,2025-06-03T21:30:00-04:00,2025-06-03T10:38:22-04:00,pre_game,demon,False,False
5202241,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,19.5,2025-06-03T21:30:00-04:00,2025-06-03T21:03:25-04:00,pre_game,standard,False,False
5202243,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebounds,8.0,2025-06-03T21:30:00-04:00,2025-06-03T20:45:17-04:00,pre_game,standard,False,False
5203025,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebounds,11.5,2025-06-03T21:30:00-04:00,2025-06-03T11:41:31-04:00,pre_game,demon,False,False
5202918,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebounds,9.5,2025-06-03T21:30:00-04:00,2025-06-03T11:41:30-04:00,pre_game,demon,False,False
5203221,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebounds,12.5,2025-06-03T21:30:00-04:00,2025-06-03T21:18:53-04:00,pre_game,demon,False,False
5202919,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebounds,7.5,2025-06-03T21:30:00-04:00,2025-06-03T11:41:30-04:00,pre_game,goblin,False,False
5203306,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebounds,6.5,2025-06-03T21:30:00-04:00,2025-06-03T21:18:53-04:00,pre_game,demon,False,False
5203031,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,19.5,2025-06-03T21:30:00-04:00,2025-06-02T13:58:23-04:00,pre_game,demon,False,False
5203030,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,11.5,2025-06-03T21:30:00-04:00,2025-06-02T12:51:31-04:00,pre_game,goblin,False,False
5211909,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Fantasy Score,25.0,2025-06-03T21:30:00-04:00,2025-06-03T17:24:27-04:00,pre_game,standard,False,False
5203305,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebounds,2.5,2025-06-03T21:30:00-04:00,2025-06-03T21:18:53-04:00,pre_game,goblin,False,False
5203032,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebounds,4.5,2025-06-03T21:30:00-04:00,2025-06-03T11:41:31-04:00,pre_game,demon,False,False
5203329,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebounds,4.0,2025-06-03T21:30:00-04:00,2025-06-03T11:41:31-04:00,pre_game,standard,False,False
5202255,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,12.5,2025-06-03T21:30:00-04:00,2025-06-03T15:08:50-04:00,pre_game,standard,False,False
5202257,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebounds,3.5,2025-06-03T21:30:00-04:00,2025-06-03T11:41:30-04:00,pre_game,goblin,False,False
5211331,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Pts+Rebs,17.0,2025-06-03T21:30:00-04:00,2025-06-03T16:20:23-04:00,pre_game,standard,False,False
5211914,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Pts+Rebs+Asts,19.0,2025-06-03T21:30:00-04:00,2025-06-03T16:20:23-04:00,pre_game,standard,False,False
5202930,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Rebounds,5.5,2025-06-03T21:30:00-04:00,2025-06-03T11:41:30-04:00,pre_game,demon,False,False
5202929,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,9.5,2025-06-03T21:30:00-04:00,2025-06-02T12:50:44-04:00,pre_game,goblin,False,False
5202928,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,14.5,2025-06-03T21:30:00-04:00,2025-06-02T12:50:44-04:00,pre_game,demon,False,False
5213650,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Pts+Rebs,14.0,2025-06-03T21:30:00-04:00,2025-06-03T16:50:21-04:00,pre_game,standard,False,False
5213648,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,9.5,2025-06-03T21:30:00-04:00,2025-06-03T16:45:53-04:00,pre_game,standard,False,False
5211920,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Fantasy Score,13.0,2025-06-03T21:30:00-04:00,2025-06-03T11:52:03-04:00,pre_game,standard,False,False
5202282,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,6.5,2025-06-03T21:30:00-04:00,2025-06-03T17:09:11-04:00,pre_game,standard,False,False
5211925,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Pts+Rebs+Asts,10.0,2025-06-03T21:30:00-04:00,2025-06-03T11:55:48-04:00,pre_game,standard,False,False
5213652,,WNBA_game_5qVUfWFFy5Fal4V9WVEBgh1U,,Points,4.5,2025-06-03T21:30:00-04:00,2025-06-03T16:48:18-04:00,pre_game,standard,False,False
