SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
2025,3142191,Kelsey Mitchell,,5,IND,Indiana Fever,401736146,2025-05-30,IND vs OPP,W,35.0,4,15,0.267,0,4,0.0,5,6,0.833,0,2,2,5,3,1,0,0,3,0,13,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35
2025,3142191,Kelsey Mitchell,,5,IND,Indiana Fever,401736156,2025-06-03,IND vs OPP,W,32.0,7,14,0.5,4,7,0.571,6,10,0.6,0,2,2,3,1,2,0,0,4,0,24,11,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,32
2025,3142191,Kelsey Mitchell,,5,IND,Indiana Fever,401736164,2025-06-08,IND vs OPP,W,25.0,5,11,0.455,1,6,0.167,6,7,0.857,1,4,5,2,3,1,0,0,2,0,17,28,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25
2025,3142191,Kelsey Mitchell,,5,IND,Indiana Fever,401736169,2025-06-10,IND vs OPP,W,31.0,5,16,0.312,0,5,0.0,1,2,0.5,0,1,1,1,0,1,0,0,1,0,11,-18,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,31
2025,3142191,Kelsey Mitchell,,5,IND,Indiana Fever,401736177,2025-06-14,IND vs OPP,W,34.0,9,21,0.429,3,10,0.3,1,2,0.5,0,2,2,1,1,1,0,0,3,0,22,21,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,34
2025,3142250,Jordin Canada,,20,ATL,Atlanta Dream,401736161,2025-06-06,ATL vs OPP,W,17.0,0,7,0.0,0,4,0.0,0,0,0.0,0,2,2,3,2,1,1,0,1,0,0,-2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,17
2025,3142250,Jordin Canada,,20,ATL,Atlanta Dream,401736169,2025-06-10,ATL vs OPP,W,24.0,2,8,0.25,0,2,0.0,0,0,0.0,0,2,2,5,0,0,0,0,2,0,4,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24
2025,3142250,Jordin Canada,,20,ATL,Atlanta Dream,401736174,2025-06-13,ATL vs OPP,W,26.0,5,8,0.625,2,3,0.667,0,0,0.0,0,2,2,8,1,1,0,0,3,0,12,23,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26
2025,3142250,Jordin Canada,,20,ATL,Atlanta Dream,401736180,2025-06-15,ATL vs OPP,W,21.0,1,5,0.2,0,1,0.0,2,4,0.5,1,6,7,2,0,3,0,0,2,0,4,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21
2025,3142255,Monique Billings,,129689,GS,Golden State Valkyries,401736114,2025-05-17,GS vs OPP,W,23.0,2,7,0.286,1,4,0.25,2,2,1.0,1,7,8,0,2,0,1,0,1,0,7,-8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,23
