Ukari Figgs,https://www.basketball-reference.com/wnba/players/f/figgsuk01w.html,figgsuk01w,No table found or empty stats.
G,https://www.basketball-reference.com/wnba/players/g/,nan,No table found or empty stats.
Brittney Griner,https://www.basketball-reference.com/wnba/players/g/grinebr01w.html,grinebr01w,No table found or empty stats.
Yolanda Griffith,https://www.basketball-reference.com/wnba/players/g/griffyo01w.html,griffyo01w,No table found or empty stats.
Chelsea Gray,https://www.basketball-reference.com/wnba/players/g/graych01w.html,graych01w,No table found or empty stats.
Allisha Gray,https://www.basketball-reference.com/wnba/players/g/grayal01w.html,grayal01w,No table found or empty stats.
Adrienne Goodson,https://www.basketball-reference.com/wnba/players/g/goodsad01w.html,goodsad01w,No table found or empty stats.
Jennifer Gillom,https://www.basketball-reference.com/wnba/players/g/gilloje01w.html,gilloje01w,No table found or empty stats.
H,https://www.basketball-reference.com/wnba/players/h/,nan,No table found or empty stats.
Becky Hammon,https://www.basketball-reference.com/wnba/players/h/hammobe01w.html,hammobe01w,No table found or empty stats.
Chamique Holdsclaw,https://www.basketball-reference.com/wnba/players/h/holdsch01w.html,holdsch01w,No table found or empty stats.
Tiffany Hayes,https://www.basketball-reference.com/wnba/players/h/hayesti01w.html,hayesti01w,No table found or empty stats.
Natasha Howard,https://www.basketball-reference.com/wnba/players/h/howarna01w.html,howarna01w,No table found or empty stats.
Dearica Hamby,https://www.basketball-reference.com/wnba/players/h/hambyde01w.html,hambyde01w,No table found or empty stats.
Lindsey Harding,https://www.basketball-reference.com/wnba/players/h/hardili01w.html,hardili01w,No table found or empty stats.
I,https://www.basketball-reference.com/wnba/players/i/,nan,No table found or empty stats.
Sabrina Ionescu,https://www.basketball-reference.com/wnba/players/i/ionessa01w.html,ionessa01w,No table found or empty stats.
Niele Ivey,https://www.basketball-reference.com/wnba/players/i/iveyni01w.html,iveyni01w,No table found or empty stats.
Dalma Ivanyi,https://www.basketball-reference.com/wnba/players/i/ivanyda01w.html,ivanyda01w,No table found or empty stats.
Sandora Irvin,https://www.basketball-reference.com/wnba/players/i/irvinsa01w.html,irvinsa01w,No table found or empty stats.
Kiki Iriafen,https://www.basketball-reference.com/wnba/players/i/iriafki01w.html,iriafki01w,No table found or empty stats.
Ify Ibekwe,https://www.basketball-reference.com/wnba/players/i/ibekwif01w.html,ibekwif01w,No table found or empty stats.
J,https://www.basketball-reference.com/wnba/players/j/,nan,No table found or empty stats.
Lauren Jackson,https://www.basketball-reference.com/wnba/players/j/jacksla01w.html,jacksla01w,No table found or empty stats.
Vickie Johnson,https://www.basketball-reference.com/wnba/players/j/johnsvi01w.html,johnsvi01w,No table found or empty stats.
Jonquel Jones,https://www.basketball-reference.com/wnba/players/j/jonesjo01w.html,jonesjo01w,No table found or empty stats.
